name,href,address
S'MAC,https://www.delivery.com/cities/nyc/categories/restaurant/smac,345 E 12th St (Between 1st & 2nd Avenue)
Bully's,https://www.delivery.com/cities/nyc/categories/restaurant/bullys,759 Broadway (Between 8th and 9th Street)
2 Sea King Chinese Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/2-sea-king-chinese-restaurant,219 E 23rd St (2nd Ave. & 3rd Ave.)
Chinatown Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/chinatown-restaurant-10128,1650 3rd Ave (92nd & 93rd Sst.)
Sunburst Espresso Bar,https://www.delivery.com/cities/nyc/categories/restaurant/sunburst-espresso-bar,206 3rd Ave (Corner of 3rd Ave & 18th St)
Bus Stop Diner,https://www.delivery.com/cities/nyc/categories/restaurant/bus-stop-restaurant,3341 Broadway (135th St and 136th St)
Maguro,https://www.delivery.com/cities/nyc/categories/restaurant/maguro,160 E 28th St (3rd Avenue)
The Dish Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/the-dish-restaurant,201 8th Ave (Between 20th & 21st Streets)
Bite,https://www.delivery.com/cities/nyc/categories/restaurant/bite,211 E 14th St (Between 2nd & 3rd Ave)
Famous Amadeus Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/amadeus-pizza,408 8th Ave (30th and 31st)
Republic,https://www.delivery.com/cities/nyc/categories/restaurant/republic,37 Union Sq W (Broadway & 5th Ave)
Solo Pizza,https://www.delivery.com/cities/nyc/categories/restaurant/solo-pizza,27 Avenue B (Between 2nd & 3rd Streets)
Oriental Cafe Chinese & Japanese Cuisine,https://www.delivery.com/cities/nyc/categories/restaurant/oriental-cafe-10028,1580 1st Ave (Between 82nd & 83rd St.)
Paul's Da Burger Joint,https://www.delivery.com/cities/nyc/categories/restaurant/pauls-burgers,131 2nd Ave (7th St & 8th St)
Hamachi Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/hamachi-sushi,63A Reade St (Between Church and Broadway)
Thai NY,https://www.delivery.com/cities/nyc/categories/restaurant/thai-ny,394 3rd Ave (28th Street)
Accord Asian Cuisine,https://www.delivery.com/cities/nyc/categories/restaurant/accord-asian-cuisine,1 E Broadway (Intersection of Worth and Oliver Street)
Klong Thai,https://www.delivery.com/cities/nyc/categories/restaurant/klong-thai,7 Saint Marks Pl (2nd & 3rd Ave.)
El Nuevo Caridad Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/el-nuevo-caridad-restaurant,2257 2nd Ave (116th st)
Chirping Chicken,https://www.delivery.com/cities/nyc/categories/restaurant/chirping-chicken-10021,1219 1st Ave (Corner of 66th St.)
La Ozen Asian Fusion,https://www.delivery.com/cities/nyc/categories/restaurant/ozen-asian-fusion,760 Amsterdam Ave (Corner of 97th St.)
Chopstick House,https://www.delivery.com/cities/nyc/categories/restaurant/chopstick-house-10018,130 W 36th St (Broadway & 7th)
Red House,https://www.delivery.com/cities/nyc/categories/restaurant/red-house,203 E 14th St (Between 2nd & 3rd Ave.)
Olympic Flame Diner,https://www.delivery.com/cities/nyc/categories/restaurant/olympic-flame-diner,200 W 60th St (Corner of Amsterdam Ave.)
Fresh Tortillas,https://www.delivery.com/cities/nyc/categories/restaurant/fresh-tortillas-2nd-ave,573 2nd Ave (2nd Ave)
Taco House,https://www.delivery.com/cities/nyc/categories/restaurant/taco-house,178 Church St (Between Duane & Reade Street)
Iggy's Pizzeria,https://www.delivery.com/cities/nyc/categories/restaurant/iggys-pizzeria,173 1st Ave (Between 10th & 11th)
